FECHA_CORTE,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA_EVENTO,HORA_EVENTO,COD_ESTACION,LAT_ESTACION,LON_ESTACION,ACEL_MAX_VERTICAL,ACEL_MAX_NORTE-SUR,ACEL_MAX_ESTE-OESTE
20240523,21801,ANCASH,SANTA,CHIMBOTE,20190103,161148,CBTB,-9.064,-78.618,0.0351,0.0793,0.0811
20240523,250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,20190104,34950,PUCA,-8.393,-74.668,0.0208,0.0098,0.0076
20240523,150118,LIMA,LIMA,LURIGANCHO,20190104,34950,NNAA,-11.991,-76.844,0.0089,0.0097,0.01
20240523,150124,LIMA,LIMA,PUCUSANA,20190104,34950,PUCU,-12.492,-76.788,0.0118,0.0119,0.0122
20240523,250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,20190105,142528,PUCA,-8.393,-74.668,3.3783,3.5906,5.9978
20240523,50101,AYACUCHO,HUAMANGA,AYACUCHO,20190105,142528,AYAA,-13.152,-74.206,0.4187,0.3344,0.3074
20240523,150137,LIMA,LIMA,SANTA ANITA,20190105,142528,SANI,-12.045,-76.973,0.4699,0.4725,0.4671
20240523,230302,TACNA,JORGE BASADRE,ILABAYA,20190105,142528,TOQA,-17.304,-70.643,0.2856,0.6308,0.6175
20240523,70105,CALLAO,CALLAO,LA PUNTA,20190105,142528,ENPE,-12.072,-77.169,0.3787,0.4202,0.4735
20240523,150122,LIMA,LIMA,MIRAFLORES,20190105,142528,MIRA,-12.127,-77.008,0.41,0.228,0.2015
20240523,150124,LIMA,LIMA,PUCUSANA,20190105,142528,PUCU,-12.492,-76.788,0.1476,0.1167,0.1596
20240523,210101,PUNO,PUNO,PUNO,20190106,60613,UNAA,-15.823,-70.018,0.1577,0.3284,0.2636
20240523,230302,TACNA,JORGE BASADRE,ILABAYA,20190106,60613,TOQA,-17.304,-70.643,0.0179,0.0231,0.033
20240523,230302,TACNA,JORGE BASADRE,ILABAYA,20190106,152535,TOQA,-17.304,-70.643,0.9771,3.7458,2.2897
20240523,180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,20190106,152535,MOQA,-17.193,-70.935,0.6359,0.5809,0.6121
20240523,230104,TACNA,TACNA,CIUDAD NUEVA,20190106,152535,CNMC,-17.986,-70.24,5.0043,4.6922,4.5402
20240523,70105,CALLAO,CALLAO,LA PUNTA,20190107,5228,ENPE,-12.072,-77.169,0.2287,0.2459,0.2894
20240523,150128,LIMA,LIMA,RIMAC,20190107,5228,RIMA,-12.023,-77.027,0.6431,0.9787,1.0688
20240523,150102,LIMA,LIMA,ANCON,20190107,5228,ANCA,-11.777,-77.15,0.9927,0.9975,1.3298
20240523,150111,LIMA,LIMA,EL AGUSTINO,20190107,5228,HJUN,-12.051,-76.999,0.5513,0.5833,0.6689
20240523,21809,ANCASH,SANTA,NUEVO CHIMBOTE,20190107,5228,CBTA,-9.128,-78.521,1.8345,2.6293,4.1483
